Entry,Gene Names,Protein names,protein_symbol
Q5T681,C10orf62,Uncharacterized protein C10orf62,C10orf62
Q5T6J7,IDNK C9orf103,Probable gluconokinase,IDNK
Q5T7M9,DIPK1A FAM69A,Divergent protein kinase domain 1A,DIPK1A
Q5T9S5,CCDC18,Coiled-coil domain-containing protein 18,CCDC18
Q5TAG4,NBPF12 COAS1 KIAA1245,Neuroblastoma breakpoint family member 12,NBPF12
Q5TC63,GRTP1 TBC1D6,Growth hormone-regulated TBC protein 1,GRTP1
Q5TEA3,DNAAF9 C20orf194,Dynein axonemal assembly factor 9,DNAAF9
Q5TEA6,SEL1L2 C20orf50,Protein sel-1 homolog 2,SEL1L2
Q5TEC3,ZNF697,Zinc finger protein 697,ZNF697
Q5TF21,MTCL3 C6orf174 SOGA3,Microtubule cross-linking factor 3,MTCL3
Q5TF39,MFSD4B KIAA1919 NAGLT1 HSPC100,Sodium-dependent glucose transporter 1,MFSD4B
Q5TFE4,NT5DC1 NT5C2L1 LP2642,5'-nucleotidase domain-containing protein 1,NT5DC1
Q5TFG8,ZC2HC1B C6orf94 FAM164B,Zinc finger C2HC domain-containing protein 1B,ZC2HC1B
Q5TG30,ARHGAP40 C20orf95,Rho GTPase-activating protein 40,ARHGAP40
Q5TGI0,FAXC C6orf168,Failed axon connections homolog,FAXC
Q5TGS1,HES3 BHLHB43,Transcription factor HES-3,HES3
Q5TGY1,TMCO4,Transmembrane and coiled-coil domain-containing protein 4,TMCO4
Q5THK1,PRR14L C22orf30,Protein PRR14L,PRR14L
Q5TIE3,VWA5B1,von Willebrand factor A domain-containing protein 5B1,VWA5B1
Q5TZ20,OR2G6,Olfactory receptor 2G6,OR2G6
Q5TZJ5,SPATA31A1 C9orf36 FAM75A1 FAM75A2 SPATA31A2,Spermatogenesis-associated protein 31A1,SPATA31A1
Q5U3C3,TMEM164,Transmembrane protein 164,TMEM164
Q5UAW9,GPR157,G-protein coupled receptor 157,GPR157
Q5VIY5,ZNF468,Zinc finger protein 468,ZNF468
Q5VSG8,MANEAL,"Glycoprotein endo-alpha-1,2-mannosidase-like protein",MANEAL
Q5VT79,ANXA8L1 ANXA8L2,Annexin A8-like protein 1,ANXA8L1
Q5VTE6,ANGEL2 KIAA0759L,Protein angel homolog 2,ANGEL2
Q5VTJ3,KLHDC7A,Kelch domain-containing protein 7A,KLHDC7A
Q5VTL8,PRPF38B,Pre-mRNA-splicing factor 38B,PRPF38B
Q5VTM2,AGAP9 CTGLF6,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 9",AGAP9
Q5VTU8,ATP5F1EP2 ATP5EP2,"ATP synthase subunit epsilon-like protein, mitochondrial",ATP5F1EP2
Q5VU65,NUP210L,Nuclear pore membrane glycoprotein 210-like,NUP210L
Q5VU69,CFAP141 C1orf189,Cilia- and flagella-associated protein 141,CFAP141
Q5VUD6,DIPK1B C9orf136 FAM69B PP6977,Divergent protein kinase domain 1B,DIPK1B
Q5VUJ5,AGAP7P AGAP7 CTGLF4,"Putative Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 7",AGAP7P
Q5VUJ6,LRCH2 KIAA1495,Leucine-rich repeat and calponin homology domain-containing protein 2,LRCH2
Q5VUY0,AADACL3,Arylacetamide deacetylase-like 3,AADACL3
Q5VVM6,CCDC30 PFDN6L,Coiled-coil domain-containing protein 30,CCDC30
Q5VVW2,GARNL3,GTPase-activating Rap/Ran-GAP domain-like protein 3,GARNL3
Q5VW22,AGAP6 CTGLF3,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 6",AGAP6
Q5VWQ0,RSBN1,Lysine-specific demethylase 9,RSBN1
Q5VX52,SPATA1,Spermatogenesis-associated protein 1,SPATA1
Q5VXM1,CDCP2,CUB domain-containing protein 2,CDCP2
Q5VXU3,CHIC1 BRX,Cysteine-rich hydrophobic domain-containing protein 1,CHIC1
Q5VYM1,SPATA31G1 C9orf131,Spermatogenesis-associated protein 31G1,SPATA31G1
Q5VYV0,FOXB2,Forkhead box protein B2,FOXB2
Q5VYV7,SLX4IP C20orf94,Protein SLX4IP,SLX4IP
Q5VZ03,NXNL2 C9orf121,Nucleoredoxin-like protein 2,NXNL2
Q5VZ46,KIAA1614,Uncharacterized protein KIAA1614,KIAA1614
Q5VZ66,JAKMIP3 C10orf14 C10orf39 JAMIP3 NECC2,Janus kinase and microtubule-interacting protein 3,JAKMIP3
Q5W0A0,ERICH6B FAM194B,Glutamate-rich protein 6B,ERICH6B
Q5W0B7,TMEM236 FAM23A FAM23B,Transmembrane protein 236,TMEM236
Q5W0V3,FHIP2A FAM160B1 KIAA1600,FHF complex subunit HOOK interacting protein 2A,FHIP2A
Q5W186,CST9 CLM CTES7A,Cystatin-9,CST9
Q5W5W9,RESP18,Regulated endocrine-specific protein 18,RESP18
Q5XG99,LYSMD4,LysM and putative peptidoglycan-binding domain-containing protein 4,LYSMD4
Q5XKK7,FAM219B C15orf17,Protein FAM219B,FAM219B
Q5XKR9,VCF2 CXorf44 FAM104B,Protein VCF2,VCF2
Q5XUX1,FBXW9 FBW9,F-box/WD repeat-containing protein 9,FBXW9
Q5YKI7,GGNBP1,Putative gametogenetin-binding protein 1,GGNBP1
Q63HM2,PCNX4 C14orf135 FBP2 PCNXL4,Pecanex-like protein 4,PCNX4
Q63HM9,PLCXD3,PI-PLC X domain-containing protein 3,PLCXD3
Q63ZE4,SLC22A10 OAT5,Solute carrier family 22 member 10,SLC22A10
Q64ET8,FRG2 FRG2A,Protein FRG2,FRG2
Q658K8,EEF1DP3,Putative elongation factor 1-delta-like protein,EEF1DP3
Q658L1,SAXO2 FAM154B,Stabilizer of axonemal microtubules 2,SAXO2
Q658N2,WSCD1 KIAA0523,Sialate:O-sulfotransferase 1,WSCD1
Q68CQ7,GLT8D1 GALA4A AD-017 MSTP137 UNQ572/PRO1134,Glycosyltransferase 8 domain-containing protein 1,GLT8D1
Q68CR1,SEL1L3 KIAA0746,Protein sel-1 homolog 3,SEL1L3
Q68DI1,ZNF776,Zinc finger protein 776,ZNF776
Q68DU8,KCTD16 KIAA1317,BTB/POZ domain-containing protein KCTD16,KCTD16
Q68DY9,ZNF772,Zinc finger protein 772,ZNF772
Q69YU3,ANKRD34A ANKRD34,Ankyrin repeat domain-containing protein 34A,ANKRD34A
Q6AHZ1,ZNF518A KIAA0335 ZNF518,Zinc finger protein 518A,ZNF518A
Q6AI08,HEATR6 ABC1,HEAT repeat-containing protein 6,HEATR6
Q6AI12,ANKRD40,Ankyrin repeat domain-containing protein 40,ANKRD40
Q6AW86,ZNF324B,Zinc finger protein 324B,ZNF324B
Q6B0B8,TIGD3,Tigger transposable element-derived protein 3,TIGD3
Q6BEB4,SP5,Transcription factor Sp5,SP5
Q6DD87,ZNF787,Zinc finger protein 787,ZNF787
Q6DHV5,CC2D2B C10orf130 C10orf131,Protein CC2D2B,CC2D2B
Q6DKI1,RPL7L1,Ribosomal protein uL30-like,RPL7L1
Q6EBC2,IL31,Interleukin-31,IL31
Q6EKJ0,GTF2IRD2B,General transcription factor II-I repeat domain-containing protein 2B,GTF2IRD2B
Q6F5E7,TXNRD3NB TR2IT1 TXNRD3IT1 TXNRD3NT1,Putative uncharacterized protein TXNRD3NB,TXNRD3NB
Q6GPI1,CTRB2,Chymotrypsinogen B2,CTRB2
Q6ICC9,RTL6 LDOC1L MAR6 MART6,Retrotransposon Gag-like protein 6,RTL6
Q6ICG6,KIAA0930 C22orf9,Uncharacterized protein KIAA0930,KIAA0930
Q6ICH7,ASPHD2,Aspartate beta-hydroxylase domain-containing protein 2,ASPHD2
Q6IEE8,SLFN12L SLFN5,Schlafen family member 12-like,SLFN12L
Q6IEU7,OR5M10,Olfactory receptor 5M10,OR5M10
Q6IEV9,OR4C11 OR4C11P,Olfactory receptor 4C11,OR4C11
Q6IEY1,OR4F3; OR4F16; OR4F29,Olfactory receptor 4F3/4F16/4F29,OR4F3;
Q6IEZ7,OR2T5,Olfactory receptor 2T5,OR2T5
Q6IF00,OR2T2 OR2T2P,Olfactory receptor 2T2,OR2T2
Q6IF36,OR8G2P OR8G2 OR8G4,Putative olfactory receptor 8G2,OR8G2P
Q6IF42,OR2A2 OR2A17P OR2A2P,Olfactory receptor 2A2,OR2A2
Q6IF63,OR52W1 OR52W1P,Olfactory receptor 52W1,OR52W1
Q6IF82,OR4A47,Olfactory receptor 4A47,OR4A47
Q6IF99,OR10K2,Olfactory receptor 10K2,OR10K2
Q6IFG1,OR52E8,Olfactory receptor 52E8,OR52E8
Q6IFN5,OR7E24 OR7E24P,Olfactory receptor 7E24,OR7E24
Q6IN97,FRMPD2B FRMPD2L1 FRMPD2L2 FRMPD2P1 FRMPD2P2 PDZD5A PDZD5B PDZK5A PDZK5B,Putative protein FRMPD2-like,FRMPD2B
Q6IPT2,GARIN5A FAM71E1,Golgi-associated RAB2 interactor protein 5A,GARIN5A
Q6IPX1,TBC1D3C TBC1D3D,TBC1 domain family member 3C,TBC1D3C
Q6IPX3,TCEAL6,Transcription elongation factor A protein-like 6,TCEAL6
Q6IQ21,ZNF770,Zinc finger protein 770,ZNF770
Q6IS14,EIF5AL1,Eukaryotic translation initiation factor 5A-1-like,EIF5AL1
Q6J272,CIMIP2A FAM166A HSD46,Ciliary microtubule inner protein 2A,CIMIP2A
Q6JVE6,LCN10,Epididymal-specific lipocalin-10,LCN10
Q6JVE9,LCN8 LCN5,Epididymal-specific lipocalin-8,LCN8
Q6L8G5,KRTAP5-10 KAP5.10 KRTAP5.10,Keratin-associated protein 5-10,KRTAP5-10
Q6L9T8,FAM72D GCUD2,Protein FAM72D,FAM72D
Q6MZZ7,CAPN13,Calpain-13,CAPN13
Q6NSI8,SANBR KIAA1841,SANT and BTB domain regulator of class switch recombination,SANBR
Q6NSJ2,PHLDB3,Pleckstrin homology-like domain family B member 3,PHLDB3
Q6NSW5,DENND10P1 FAM45 FAM45BP HT011,Putative DENN domain-containing protein 10 B,DENND10P1
Q6NT04,TIGD7,Tigger transposable element-derived protein 7,TIGD7
Q6NT52,CGB2,Choriogonadotropin subunit beta variant 2,CGB2
Q6NT89,TRNP1 C1orf225 TRNP,TMF-regulated nuclear protein 1,TRNP1
Q6NUN7,JHY C11orf63,Jhy protein homolog,JHY
Q6NV75,GPR153 PGR1,Probable G-protein coupled receptor 153,GPR153
Q6NVV3,NIPAL1 NIPA3 NPAL1,Magnesium transporter NIPA3,NIPAL1
Q6NVV9,ADAM5 ADAM5P TMDC2,Putative disintegrin and metalloproteinase domain-containing protein 5,ADAM5
Q6NW29,RWDD4 FAM28A RWDD4A,RWD domain-containing protein 4,RWDD4
Q6NX49,ZNF544,Zinc finger protein 544,ZNF544
Q6NXP0,EFCAB12 C3orf25,EF-hand calcium-binding domain-containing protein 12,EFCAB12
Q6NXP2,GARIN1A FAM137B FAM71F2,Golgi-associated RAB2 interactor protein 1A,GARIN1A
Q6NXT1,ANKRD54 LIAR,Ankyrin repeat domain-containing protein 54,ANKRD54
Q6NZ63,STEAP1B,STEAP family member 1B,STEAP1B
Q6P093,AADACL2,Arylacetamide deacetylase-like 2,AADACL2
Q6P161,MRPL54,Large ribosomal subunit protein mL54,MRPL54
Q6P1N9,TATDN1 CDA11,Deoxyribonuclease TATDN1,TATDN1
Q6P280,ZNF529 KIAA1615,Zinc finger protein 529,ZNF529
Q6P2I3,FAHD2B,"Oxaloacetate tautomerase FAHD2B, mitochondrial",FAHD2B
Q6P387,C16orf46,Uncharacterized protein C16orf46,C16orf46
Q6P3R8,NEK5,Serine/threonine-protein kinase Nek5,NEK5
Q6P3V2,ZNF585A,Zinc finger protein 585A,ZNF585A
Q6P474,PDXDC2P PDXDC2,Putative pyridoxal-dependent decarboxylase domain-containing protein 2,PDXDC2P
Q6P5X7,TMEM71,Transmembrane protein 71,TMEM71
Q6P6B1,ERICH5 C8orf47,Glutamate-rich protein 5,ERICH5
Q6P6B7,ANKRD16,Ankyrin repeat domain-containing protein 16,ANKRD16
Q6P995,FAM171B KIAA1946 NPD019,Protein FAM171B,FAM171B
Q6P9A1,ZNF530 KIAA1508,Zinc finger protein 530,ZNF530
Q6P9A3,ZNF549,Zinc finger protein 549,ZNF549
Q6P9G0,CYB5D1,Cytochrome b5 domain-containing protein 1,CYB5D1
Q6PCB5,RSBN1L,Lysine-specific demethylase RSBN1L,RSBN1L
Q6PEW0,PRSS54 KLKBL4,Inactive serine protease 54,PRSS54
Q6PEZ8,PODNL1 SLRR5B,Podocan-like protein 1,PODNL1
Q6PF15,KLHL35,Kelch-like protein 35,KLHL35
Q6PG37,ZNF790,Zinc finger protein 790,ZNF790
Q6PH81,C16orf87,UPF0547 protein C16orf87,C16orf87
Q6PI47,KCTD18,BTB/POZ domain-containing protein KCTD18,KCTD18
Q6PI97,HOATZ C11orf88 HOATZIN,Cilia- and flagella-associated protein HOATZ,HOATZ
Q6PID6,TTC33,Tetratricopeptide repeat protein 33,TTC33
Q6PII5,HAGHL,Hydroxyacylglutathione hydrolase-like protein,HAGHL
Q6PIV7,SLC25A34,Solute carrier family 25 member 34,SLC25A34
Q6PJ61,FBXO46 FBX46 FBXO34L,F-box only protein 46,FBXO46
Q6PJE2,POMZP3,POM121 and ZP3 fusion protein,POMZP3
Q6PK04,CCDC137 cPERP-B,Coiled-coil domain-containing protein 137,CCDC137
Q6PK81,ZNF773 ZNF419B,Zinc finger protein 773,ZNF773
Q6PP77,XKRX XKR2 XPLAC XRG2,XK-related protein 2,XKRX
Q6Q6R5,CRIP3 CRP3,Cysteine-rich protein 3,CRIP3
Q6S545,POTEH A26C3 ACTBL1 POTE22,POTE ankyrin domain family member H,POTEH
Q6S5H5,POTEG A26C2 POTE14,POTE ankyrin domain family member G,POTEG
Q6S8J7,POTEA A26A1 POTE8,POTE ankyrin domain family member A,POTEA
Q6T423,SLC22A25 UST6,Solute carrier family 22 member 25,SLC22A25
Q6TFL3,CCDC171 C9orf93,Coiled-coil domain-containing protein 171,CCDC171
Q6U949,IGF2-AS IGF2-AS1 IGF2AS,Putative insulin-like growth factor 2 antisense gene protein,IGF2-AS
Q6UE05,TMEM270 WBSCR28,Transmembrane protein 270,TMEM270
Q6UQ28,PLET1 C11orf34,Placenta-expressed transcript 1 protein,PLET1
Q6URK8,SPMIP8 TEPP,Sperm microtubule inner protein 8,SPMIP8
Q6UW01,CBLN3 UNQ755/PRO1486,Cerebellin-3,CBLN3
Q6UW02,CYP20A1 UNQ667/PRO1301,Cytochrome P450 20A1,CYP20A1
Q6UW10,SFTA2 SFTPG UNQ541/PRO1098,Surfactant-associated protein 2,SFTA2
Q6UWE3,CLPSL2 C6orf126 UNQ3045/PRO9861,Colipase-like protein 2,CLPSL2
Q6UWF7,NXPE4 C11orf33 FAM55D UNQ3018/PRO9799,NXPE family member 4,NXPE4
Q6UWH4,GASK1B C4orf18 ENED FAM198B AD021 UNQ2512/PRO6001,Golgi-associated kinase 1B,GASK1B
Q6UWI4,SHISA2 C13orf13 TMEM46 UNQ9166/PRO28631,Protein shisa-2 homolog,SHISA2
Q6UWJ8,CD164L2 UNQ6122/PRO20044,CD164 sialomucin-like 2 protein,CD164L2
Q6UWM9,UGT2A3 UNQ2559/PRO6239,UDP-glucuronosyltransferase 2A3,UGT2A3
Q6UWN0,LYPD4 UNQ2552/PRO6181,Ly6/PLAUR domain-containing protein 4,LYPD4
Q6UWN8,SPINK6 UNQ844/PRO1782,Serine protease inhibitor Kazal-type 6,SPINK6
Q6UWP8,SBSN UNQ698/PRO1343,Suprabasin,SBSN
Q6UWQ5,LYZL1 LYC2 UNQ648/PRO1278,Lysozyme-like protein 1,LYZL1
Q6UWS5,PET117 UNQ607/PRO1194,"Protein PET117 homolog, mitochondrial",PET117
Q6UWT2,ENHO C9orf165 UNQ470/PRO830,Adropin,ENHO
Q6UWU2,GLB1L UNQ229/PRO262,Beta-galactosidase-1-like protein,GLB1L
Q6UWV7,SHISAL2A FAM159A UNQ2783/PRO7171,Protein shisa-like-2A,SHISAL2A
Q6UWX4,HHIPL2 HHIP3 KIAA1822L UNQ841/PRO1779,HHIP-like protein 2,HHIPL2
Q6UWY5,OLFML1 UNQ564/PRO1126,Olfactomedin-like protein 1,OLFML1
Q6UX68,XKR5 XRG5 UNQ2754/PRO6493,XK-related protein 5,XKR5
Q6UX72,B3GNT9 UNQ1922/PRO4397,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9",B3GNT9
Q6UX82,LYPD8 UNQ511/PRO1026,Ly6/PLAUR domain-containing protein 8,LYPD8
Q6UXB1,IGFL3 UNQ483/PRO982,Insulin growth factor-like family member 3,IGFL3
Q6UXB3,LYPD2 LYPDC2 UNQ430/PRO788,Ly6/PLAUR domain-containing protein 2,LYPD2
Q6UXD7,SLC49A3 MFSD7 LP2561 UNQ385/PRO717,Solute carrier family 49 member A3,SLC49A3
Q6UXE8,BTNL3 BTNLR COLF4100 UNQ744/PRO1472,Butyrophilin-like protein 3,BTNL3
Q6UXF7,CLEC18B MRLP1 UNQ306/PRO347,C-type lectin domain family 18 member B,CLEC18B
Q6UXN7,TOMM20L UNQ9438/PRO34772,TOMM20-like protein 1,TOMM20L
Q6UXS0,CLEC19A UNQ5810/PRO19627,C-type lectin domain family 19 member A,CLEC19A
Q6UXU4,GSG1L UNQ5831/PRO19651,Germ cell-specific gene 1-like protein,GSG1L
Q6UXU6,TMEM92 UNQ5801/PRO19608,Transmembrane protein 92,TMEM92
Q6UXV1,IZUMO2 C19orf41 SCRL UNQ6978/PRO21961,Izumo sperm-egg fusion protein 2,IZUMO2
Q6UXY8,TMC5 UNQ8238/PRO33604,Transmembrane channel-like protein 5,TMC5
Q6UY01,LRRC31 UNQ9367/PRO34156,Leucine-rich repeat-containing protein 31,LRRC31
Q6UY18,LINGO4 LRRN6D UNQ9248/PRO34002,Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 4,LINGO4
Q6UY27,PATE2 C11orf38 UNQ3112/PRO10144,Prostate and testis expressed protein 2,PATE2
Q6V702,CFAP299 C4orf22,Cilia- and flagella-associated protein 299,CFAP299
Q6V9R5,ZNF562,Zinc finger protein 562,ZNF562
Q6XE38,SCGB1D4 UNQ517/PRO812,Secretoglobin family 1D member 4,SCGB1D4
Q6XLA1,CASC2 C10orf5,"Protein CASC2, isoform 3",CASC2
Q6Y2X3,DNAJC14 DRIP78 HDJ3,DnaJ homolog subfamily C member 14,DNAJC14
Q6ZMB5,TMEM184A,Transmembrane protein 184A,TMEM184A
Q6ZMN7,PDZRN4 LNX4 SEMCAP3L,PDZ domain-containing RING finger protein 4,PDZRN4
Q6ZMN8,CCNI2,Cyclin-I2,CCNI2
Q6ZMS4,ZNF852,Zinc finger protein 852,ZNF852
Q6ZMV5,PPP4R3C PPP4R3CP SMEK3P,Protein PPP4R3C,PPP4R3C
Q6ZMW2,ZNF782,Zinc finger protein 782,ZNF782
Q6ZMW3,EML6 EML5L,Echinoderm microtubule-associated protein-like 6,EML6
Q6ZMY6,WDR88 PQWD,WD repeat-containing protein 88,WDR88
Q6ZMY9,ZNF517,Zinc finger protein 517,ZNF517
Q6ZN01,MAMSTR MASTR,MEF2-activating motif and SAP domain-containing transcriptional regulator,MAMSTR
Q6ZN06,ZNF813,Zinc finger protein 813,ZNF813
Q6ZN08,ZNF66 ZNF66P,Putative zinc finger protein 66,ZNF66
Q6ZN19,ZNF841,Zinc finger protein 841,ZNF841
Q6ZN32,ETV3L,ETS translocation variant 3-like protein,ETV3L
Q6ZN68,DPY19L2P2,Putative C-mannosyltransferase DPY19L2P2,DPY19L2P2
Q6ZN79,ZNF705A,Zinc finger protein 705A,ZNF705A
Q6ZN84,CCDC81,Coiled-coil domain-containing protein 81,CCDC81
Q6ZNA1,ZNF836,Zinc finger protein 836,ZNF836
Q6ZNA5,FRRS1 SDFR2 SDR2,Ferric-chelate reductase 1,FRRS1
Q6ZNC4,ZNF704,Zinc finger protein 704,ZNF704
Q6ZNF0,ACP7 PAPL PAPL1,Acid phosphatase type 7,ACP7
Q6ZNG1,ZNF600,Zinc finger protein 600,ZNF600
Q6ZNI0,GCNT7 C20orf105,"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 7",GCNT7
Q6ZNM6,SPMIP10 C5orf48 TEX43,Sperm-associated microtubule inner protein 10,SPMIP10
Q6ZNR0,TMEM91,Transmembrane protein 91,TMEM91
Q6ZP01,RBM44,RNA-binding protein 44,RBM44
Q6ZPB5,SDIM1,Stress-responsive DNAJB4-interacting membrane protein 1,SDIM1
Q6ZQQ6,WDR87,WD repeat-containing protein 87,WDR87
Q6ZR62,RTL4 MAR3 MART4 ZCCHC16,Retrotransposon Gag-like protein 4,RTL4
Q6ZRF7,ZNF818P ZNF818,Putative zinc finger protein 818,ZNF818P
Q6ZRI6,C15orf39 FP6578,Uncharacterized protein C15orf39,C15orf39
Q6ZRR5,TLCD5 TMEM136,TLC domain-containing protein 5,TLCD5
Q6ZRS4,ITPRID1 CCDC129,Protein ITPRID1,ITPRID1
Q6ZS11,RINL,Ras and Rab interactor-like protein,RINL
Q6ZS30,NBEAL1 ALS2CR16 ALS2CR17,Neurobeachin-like protein 1,NBEAL1
Q6ZS82,RGS9BP R9AP,Regulator of G-protein signaling 9-binding protein,RGS9BP
Q6ZS86,GK5,Putative glycerol kinase 5,GK5
Q6ZSI9,CAPN12,Calpain-12,CAPN12
Q6ZSS3,ZNF621,Zinc finger protein 621,ZNF621
Q6ZT07,TBC1D9 KIAA0882 TBC1D9A,TBC1 domain family member 9,TBC1D9
Q6ZT77,ZNF826P ZNF826,Putative zinc finger protein 826,ZNF826P
Q6ZTU2,EP400P1 EP400NL,Putative EP400-like protein,EP400P1
Q6ZU65,UBN2 KIAA2030,Ubinuclein-2,UBN2
Q6ZU67,BEND4 CCDC4,BEN domain-containing protein 4,BEND4
Q6ZU69,SPATA31F1 C9orf144B FAM205A,Protein SPATA31F1,SPATA31F1
Q6ZUJ4,C3orf62,Uncharacterized protein C3orf62,C3orf62
Q6ZUK4,TMEM26,Transmembrane protein 26,TMEM26
Q6ZUS6,CCDC149,Coiled-coil domain-containing protein 149,CCDC149
Q6ZUT6,CCDC9B C15orf52,Coiled-coil domain-containing protein 9B,CCDC9B
Q6ZUV0,ACOT7L BACHL,Putative cytosolic acyl coenzyme A thioester hydrolase-like,ACOT7L
Q6ZV50,RFX8,DNA-binding protein RFX8,RFX8
Q6ZV89,SH2D5,SH2 domain-containing protein 5,SH2D5
Q6ZVC0,NYAP1 C7orf51,Neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adapter 1,NYAP1
Q6ZVF9,GPRIN3 KIAA2027,G protein-regulated inducer of neurite outgrowth 3,GPRIN3
Q6ZVL6,KIAA1549L C11orf41 C11orf69,UPF0606 protein KIAA1549L,KIAA1549L
Q6ZVZ8,ASB18,Ankyrin repeat and SOCS box protein 18,ASB18
Q6ZWB6,KCTD8,BTB/POZ domain-containing protein KCTD8,KCTD8
Q719I0,AHSA2P AHSA2,Putative activator of 90 kDa heat shock protein ATPase homolog 2,AHSA2P
Q71RC9,SMIM5 C17orf109,Small integral membrane protein 5,SMIM5
Q75NE6,MIR17HG C13orf25 MIRH1 MIRHG1,Putative microRNA 17 host gene protein,MIR17HG
Q75VX8,GAREM2 FAM59B GAREML KIAA2038 HRIHFB2063,GRB2-associated and regulator of MAPK protein 2,GAREM2
Q765I0,UTS2B URP UTS2D,Urotensin-2B,UTS2B
Q76G19,PDZD4 KIAA1444 PDZK4 PDZRN4L,PDZ domain-containing protein 4,PDZD4
Q76KD6,SPATC1 SPATA15 SPRN,Speriolin,SPATC1
Q76KX8,ZNF534 KRBO3,Zinc finger protein 534,ZNF534
Q7L0X2,ERICH6 C3orf44 FAM194A,Glutamate-rich protein 6,ERICH6
Q7L211,ABHD13 C13orf6,Protein ABHD13,ABHD13
Q7L311,ARMCX2 ALEX2 KIAA0512,Armadillo repeat-containing X-linked protein 2,ARMCX2
Q7L945,ZNF627,Zinc finger protein 627,ZNF627
Q7L985,LINGO2 LERN3 LRRN6C UNQ9234/PRO31993,Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 2,LINGO2
Q7RTT3,SSX9P SSX9,Putative protein SSX9,SSX9P
Q7RTT4,SSX8P SSX8,Putative protein SSX8,SSX8P
Q7RTT5,SSX7,Protein SSX7,SSX7
Q7RTT6,SSX6P SSX6,Putative protein SSX6,SSX6P
Q7RTU0,TCF24,Transcription factor 24,TCF24
Q7RTU5,ASCL5 BHLHA47,Achaete-scute homolog 5,ASCL5
Q7RTV5,PRXL2C AAED1 C9orf21,Peroxiredoxin-like 2C,PRXL2C
Q7RTX9,SLC16A14 MCT14,Monocarboxylate transporter 14,SLC16A14
Q7RTY3,PRSS45P PRSS45 TESSP5,Putative serine protease 45,PRSS45P
Q7Z2Q7,LRRC70 UNQ1891/PRO4337,Leucine-rich repeat-containing protein 70,LRRC70
Q7Z2Y8,GVINP1 GVIN1 VLIG1,Interferon-induced very large GTPase 1,GVINP1
Q7Z304,MAMDC2,MAM domain-containing protein 2,MAMDC2
Q7Z309,PABIR2 FAM122B,PABIR family member 2,PABIR2
Q7Z388,DPY19L4,Probable C-mannosyltransferase DPY19L4,DPY19L4
Q7Z3E2,CCDC186 C10orf118,Coiled-coil domain-containing protein 186,CCDC186
Q7Z3J3,RGPD4 RGP4,RanBP2-like and GRIP domain-containing protein 4,RGPD4
Q7Z3V5,ZNF571 HSPC059,Zinc finger protein 571,ZNF571
Q7Z402,TMC7,Transmembrane channel-like protein 7,TMC7
Q7Z422,SZRD1 C1orf144,SUZ RNA-binding domain-containing,SZRD1
Q7Z4H9,FAM220A C7orf70 SIPAR,Protein FAM220A,FAM220A
Q7Z4L0,COX8C,"Cytochrome c oxidase subunit 8C, mitochondrial",COX8C
Q7Z4L9,PPP1R42 LRRC67,Protein phosphatase 1 regulatory subunit 42,PPP1R42
Q7Z4R8,C6orf120,UPF0669 protein C6orf120,C6orf120
Q7Z4W2,LYZL2,Lysozyme-like protein 2,LYZL2
Q7Z4Y8,ATP5MGL ATP5K2 ATP5L2,"Putative ATP synthase subunit g 2, mitochondrial",ATP5MGL
Q7Z572,SPATA21,Spermatogenesis-associated protein 21,SPATA21
Q7Z5A8,TAFA3 FAM19A3,Chemokine-like protein TAFA-3,TAFA3
Q7Z5A9,TAFA1 FAM19A1,Chemokine-like protein TAFA-1,TAFA1
Q7Z5J8,ANKAR,Ankyrin and armadillo repeat-containing protein,ANKAR
Q7Z5L0,VMO1 UNQ6350/PRO21055,Vitelline membrane outer layer protein 1 homolog,VMO1
Q7Z5L3,C1QL2 CTRP10,Complement C1q-like protein 2,C1QL2
Q7Z5L4,SPATA19 SPERGEN1,"Spermatogenesis-associated protein 19, mitochondrial",SPATA19
Q7Z5M5,TMC3,Transmembrane channel-like protein 3,TMC3
Q7Z5S9,TMEM144,Transmembrane protein 144,TMEM144
Q7Z5Y7,KCTD20 C6orf69,BTB/POZ domain-containing protein KCTD20,KCTD20
Q7Z6M2,FBXO33 FBX33,F-box only protein 33,FBXO33
Q7Z6P3,RAB44,Ras-related protein Rab-44,RAB44
Q7Z6W1,TMCO2,Transmembrane and coiled-coil domain-containing protein 2,TMCO2
Q7Z6W7,DNAJB7 HSC3,DnaJ homolog subfamily B member 7,DNAJB7
Q7Z713,ANKRD37 LPR2BP,Ankyrin repeat domain-containing protein 37,ANKRD37
Q7Z736,PLEKHH3,Pleckstrin homology domain-containing family H member 3,PLEKHH3
Q7Z7B8,DEFB128 DEFB28,Beta-defensin 128,DEFB128
Q7Z7J9,CAMK2N1,Calcium/calmodulin-dependent protein kinase II inhibitor 1,CAMK2N1
